id,gender,masterCategory,label,subCategory,articleType,baseColour,usage,season,productDisplayName
1546,Men,Footwear,2,Shoes,Casual Shoes,White,Casual,Fall,Puma Men's Furore White Shoe
1547,Men,Footwear,2,Shoes,Casual Shoes,Black,Casual,Fall,Puma Men's Ducati Sneaker
1548,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Puma Men's Cell Exsis Sneaker
1549,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Puma Men's Jiyu Slip On Sneaker
1556,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Summer,Quechua Forclaz Large  Backpack - 50 ltr Orange
1557,Unisex,Accessories,1,Bags,Backpacks,Black,Travel,Summer,Quechua Spacious Blue-Black Backpack
1559,Unisex,Accessories,1,Bags,Backpacks,Blue,Travel,Summer,Quechua Blue Light Backpack
1561,Women,Apparel,0,Topwear,Tshirts,White,Sports,Fall,Quechua Women Sweat Proof White T-shirt
1562,Men,Apparel,0,Topwear,Tshirts,Grey,Sports,Fall,Quechua Men Sweat Proof Grey T-shirt
1563,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Quechua Men Sweat Proof Blue T-shirt
1565,Unisex,Accessories,1,Bags,Backpacks,Green,Travel,Summer,Quechua Green Light Backpack
1566,Men,Accessories,1,Headwear,Caps,Black,Sports,Summer,Artengo Men Black Cap
1567,Men,Apparel,0,Bottomwear,Shorts,Black,Sports,Fall,Artengo Men Training Shorts
1569,Men,Apparel,0,Bottomwear,Shorts,Black,Sports,Fall,Artengo Men Black Tennis Shorts
1570,Women,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Artengo Women Tennis Singlet
1571,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Kalenji Men's Super Soft Sports Shoes
1572,Men,Apparel,0,Bottomwear,Track Pants,Black,Sports,Fall,Kalenji Mens Essential Training Track Pants
1573,Women,Apparel,0,Bottomwear,Track Pants,Grey,Sports,Fall,Kalenji Women Athletes Grey Track Pants
1575,Men,Apparel,0,Topwear,Tshirts,White,Casual,Summer,Kipsta Men Sports White T-shirt
1577,Unisex,Accessories,1,Headwear,Caps,Green,Sports,Fall,Inesis  Slim Shady Cap
1578,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Domyos Men Good Stroke Red T-shirt
1579,Men,Apparel,0,Topwear,Jackets,Grey,Sports,Fall,Domyos Men Grey Second Skin Jacket
1581,Unisex,Accessories,1,Headwear,Caps,Pink,Sports,Summer,Nabaiji Unisex Silicone Swimming Cap
1584,Unisex,Apparel,0,Topwear,Jackets,White,Casual,Summer,Domyos Unisex Feather-light Jacket
1587,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Spring,Kipsta Men Superfit Football White Shoe
1588,Men,Apparel,0,Topwear,Tshirts,White,Casual,Fall,Domyos Men White Dry-Fit T-shirt
1590,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Kipsta Men's F300 Football Shoe
1591,Men,Apparel,0,Bottomwear,Shorts,Red,Sports,Fall,Kipsta Men Red Shorts
1592,Men,Footwear,2,Shoes,Sports Shoes,Red,Sports,Summer,Kipsta Men's Superfit Football Red Shoe
1594,Unisex,Footwear,2,Shoes,Casual Shoes,Grey,Casual,Fall,Newfeel Unisex Grey Mesh Lightweight Shoe
1595,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Spring,Domyos Men Good Stroke Black T-shirt
1597,Women,Accessories,1,Bags,Handbags,Black,Travel,Summer,Geonaute Women Black Outdoor Bag
1598,Women,Accessories,1,Bags,Handbags,Blue,Travel,Summer,Geonaute Women Blue Outdoor Bag
1599,Women,Accessories,1,Bags,Handbags,Green,Travel,Summer,Geonaute Women Green Outdoor Bag
1603,Men,Apparel,0,Topwear,Sweatshirts,Navy Blue,Casual,Fall,Reebok Men Hoops Athletic Navy Sweatshirt
1604,Women,Apparel,0,Bottomwear,Track Pants,Blue,Sports,Fall,Reebok Track Pants Women Blue
1605,Women,Apparel,0,Bottomwear,Track Pants,Black,Sports,Fall,Reebok Black Track Pant
1607,Men,Apparel,0,Bottomwear,Track Pants,Blue,Sports,Fall,Reebok Men trackpant- male Track Pants
1608,Men,Apparel,0,Bottomwear,Track Pants,Blue,Sports,Fall,Reebok Track Pants Jet Black
1609,Women,Apparel,0,Topwear,Sweatshirts,Pink,Sports,Fall,Reebok Women Boat-Neck Wildberry Sweatshirt
1610,Women,Apparel,0,Topwear,Jackets,Navy Blue,Casual,Summer,Reebok Navy Jacket
1611,Women,Apparel,0,Topwear,Jackets,Black,Sports,Summer,Reebok Knit Rib Women Black Jacket
1612,Men,Apparel,0,Topwear,Tshirts,White,Casual,Fall,Reebok Orange & White Striped Polo T-shirt
1613,Men,Apparel,0,Topwear,Tshirts,White,Casual,Fall,Reebok Men White Polo Tshirt
1614,Men,Apparel,0,Topwear,Tshirts,White,Sports,Fall,Reebok T-shirt White Polo Tshirt
1615,Men,Apparel,0,Topwear,Tshirts,Navy Blue,Casual,Fall,Reebok Men Navy Blue Polo T-shirt
1616,Men,Apparel,0,Topwear,Tshirts,White,Sports,Summer,Reebok Men's Shoot White T-Shirt
1617,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Reebok Men Shoot T-Shirt Red
1618,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Summer,Reebok Men United Runner White
1619,Men,Apparel,0,Bottomwear,Shorts,Grey,Sports,Fall,Reebok Men Micro Shorts Grey and White
1620,Men,Apparel,0,Bottomwear,Shorts,Blue,Sports,Fall,Reebok Men Micro Shorts
1621,Men,Apparel,0,Bottomwear,Shorts,Grey,Sports,Fall,Reebok Men Micro Shorts Black and White
1622,Men,Apparel,0,Topwear,Jackets,Navy Blue,Casual,Summer,Reebok Navy Knit Rib Jacket
1623,Unisex,Accessories,1,Bags,Backpacks,Red,Casual,Summer,Reebok Unisex Red Backpack
1624,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Summer,Reebok Silver-Black Laptop Backpack
1625,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Domyos Men Quick Dry T-shirt
1634,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Inesis Water Repellent Canaveral Shoes
1635,Unisex,Footwear,2,Shoes,Casual Shoes,Red,Casual,Spring,Newfeel Unisex Red Comfy Shoes
1636,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Nike Men Air Zoom Century Shoes
1637,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Nike Men White Cricket Shoes
1641,Men,Footwear,2,Shoes,Sports Shoes,Silver,Sports,Fall,Reebok Men's Hex Run Pure Silver Shoe
1642,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Reebok Men Winning Stride White Red
1644,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Kipsta Men Loose Fit Round Neck Jersey Red
1645,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Kipsta Men Loose Fit Round Neck Jersey Black
1646,Women,Accessories,1,Bags,Backpacks,Grey,Sports,Summer,Quechua Ultralight Backpack 16 Ltr Grey Bag
1647,Unisex,Accessories,1,Bags,Backpacks,Green,Sports,Summer,Quechua Unisex Ultralight 16 Ltr Green Backpack
1648,Women,Accessories,1,Bags,Backpacks,Pink,Travel,Summer,Quechua  Ultralight Backpack Purple 16 ltr Bag
1649,Unisex,Footwear,2,Shoes,Casual Shoes,Blue,Casual,Spring,Newfeel Unisex Comfy Cool Blue Shoe
1651,Women,Apparel,0,Topwear,Tshirts,Pink,Sports,Fall,Domyos Women Style Pink T-shirt
1653,Men,Footwear,2,Shoes,Sports Shoes,Brown,Sports,Summer,Reebok Men's Ventilator Ubiq Shoe
1654,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Reebok Men's Frisker LP Shoe
1656,Unisex,Accessories,1,Headwear,Caps,Blue,Sports,Summer,Nike Unisex Odi Day Cap
1657,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Reebok Men's White High Wire Shoe
1658,Men,Apparel,0,Topwear,Jackets,Blue,Sports,Fall,Nike Men Windrunner Blue Jacket
1662,Men,Apparel,0,Topwear,Jackets,Navy Blue,Sports,Fall,Nike Men Blue Windrunner Jacket
1668,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Fall,Reebok Men Playdry Full Sleeved T-shirt Red
1670,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Fall,Reebok Men Green Polo T-shirt
1671,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Fall,Reebok Men Black Polo T-shirt
1673,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Reebok Mens Lagoon Black T-shirt
1678,Men,Apparel,0,Topwear,Tshirts,Green,Casual,Fall,Reebok Men Play Hard Cotton Green T-shirt
1689,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Reebok Men Blue Polo T-shirt
1697,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Fall,Puma Deck Black Backpack
1727,Unisex,Footwear,2,Shoes,Casual Shoes,Black,Casual,Winter,Newfeel Unisex Black Lightweight Shoes
1728,Unisex,Footwear,2,Shoes,Sports Shoes,Green,Sports,Fall,Newfeel Unisex Green Sports Shoes
1729,Unisex,Footwear,2,Shoes,Casual Shoes,White,Casual,Spring,Newfeel Unisex White Shoes
1730,Women,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Reebok Women Black Pink Frisker Shoe
1731,Women,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Reebok Women White Blue Frisker Shoes
1752,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Lotto Men Red Epic T-shirt
1754,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Lotto Men Marcello Black T-shirt
1755,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Fall,Lotto Men Jasper Street Red T-shirt
1756,Men,Apparel,0,Topwear,Tshirts,White,Sports,Fall,Lotto Men White Polo T-shirt
1757,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Lotto Men Polo Slate Black Rugby T-shirt
1758,Men,Apparel,0,Topwear,Jackets,White,Sports,Fall,Lotto Men White Collared Jacket
1759,Men,Apparel,0,Topwear,Tshirts,Grey,Sports,Fall,Lotto Men Epic Grey T-shirt
1760,Men,Apparel,0,Topwear,Tshirts,White,Sports,Fall,Lotto Men Marcello White T-shirt
1762,Women,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Lotto Women Cathy Blue T-shirt
1763,Women,Apparel,0,Topwear,Tshirts,Pink,Casual,Summer,Lotto Women Cathy Pink T-shirt
1764,Women,Apparel,0,Bottomwear,Track Pants,Black,Sports,Fall,Lotto Women Mid Cathy Track Pants
1765,Women,Apparel,0,Topwear,Tshirts,White,Casual,Fall,Lotto Women White T-shirt
1766,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Inesis Men Blue Polo T-shirt
1782,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Kalenji Men's Kapteren Black Shoe
1783,Men,Footwear,2,Sandal,Sandals,Grey,Sports,Spring,Quechua Men Grey Sandal
1784,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Lotto Men's Melbourne White-Red Shoe
1785,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Lotto Men Brighton White-Blue Shoe
1786,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Lotto Men's Court Logo White Shoe
1787,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Lotto Men Court Logo White-Silver Shoe
1788,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Lotto Men's Court-White-Blue Shoe
1789,Men,Footwear,2,Shoes,Sports Shoes,Orange,Sports,Fall,Lotto Men OSLO Grey-Orange Shoe
1790,Unisex,Accessories,1,Bags,Backpacks,Beige,Sports,Fall,Quechua Unisex Ultralight Beige Bag
1791,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Summer,Quechua 10L Black Bag
1792,Unisex,Accessories,1,Bags,Backpacks,Blue,Sports,Summer,Newfeel Marine Blue Bag
1793,Unisex,Accessories,1,Bags,Backpacks,Green,Travel,Summer,Quechua 10L Green Bag
1794,Unisex,Accessories,1,Bags,Backpacks,Brown,Sports,Summer,Newfeel Brown 22L Bag
1795,Men,Accessories,1,Bags,Backpacks,Black,Sports,Fall,Newfeel 22L Black Bag
1796,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Domyos Men Performance Blue T-shirt
1798,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Domyos Men Slt Compression T-shirt
1799,Men,Apparel,0,Bottomwear,Track Pants,White,Sports,Summer,Domyos Men Blue & White Tracksuit
1800,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Summer,Quechua Unisex Black Solid Backpack
1801,Women,Accessories,1,Bags,Backpacks,Pink,Sports,Summer,Quechua Women 10L Pink Bag
1802,Men,Footwear,2,Shoes,Sports Shoes,Brown,Sports,Spring,Quechua Men's Arpenaz Flex Yellow Shoe
1803,Unisex,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Tribord Unisex Black T-shirt
1804,Men,Apparel,0,Bottomwear,Shorts,Black,Sports,Fall,Kalenji Men Essential Baggy Black Shorts
1805,Men,Footwear,2,Shoes,Casual Shoes,Beige,Casual,Fall,Quechua Men Forclaz 1OO Beige Shoe
1806,Men,Footwear,2,Sandal,Sandals,Brown,Casual,Spring,Quechua Men Arpenaz Brown Sandal
1807,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Fall,Quechua Men G1 Techfresh Red T-shirt
1809,Women,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Decathlon Profilter Women Blue T-shirt
1810,Men,Apparel,0,Topwear,Tshirts,Red,Sports,Fall,Tribord Profilter Red Men T-shirt
1811,Men,Apparel,0,Topwear,Tshirts,Orange,Sports,Fall,Solognac Men Orange T-shirt
1812,Men,Apparel,0,Topwear,Tshirts,Green,Sports,Fall,Solognac Men Green T-shirt
1813,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Solognac Men Dark Blue T-shirt
1814,Men,Apparel,0,Topwear,Tshirts,Brown,Sports,Fall,Solognac Men Chocolate Brown  T-shirt
1827,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Nike Men's Downshifter White/Blue Shoe
1828,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Nike Men's Air Afterburner Shoe
1831,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Nike Men's Air Impetus Shoe
1832,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Nike Lunarswift Shoe
1833,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Nike Men's Ballista Shoe
1836,Men,Footwear,2,Shoes,Sports Shoes,Silver,Sports,Fall,Nike Air Visi Sleek Shoes
1841,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Puma Men's Calibre Convertible Spike Shoe
1842,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Puma Men's Calibre Rubber Shoe
1844,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Summer,Inkfruit Mens D day T-shirt
1845,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Summer,Inkfruit Mens Surfer T-shirt
1846,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Summer,Inkfruit Men Buddha Bless You T-shirt
1847,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Summer,Inkfruit Mens Messy T-shirt
1848,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Summer,Inkfruit Men Wolf
1849,Men,Apparel,0,Topwear,Tshirts,White,Casual,Summer,Inkfruit Mens Unbreakable Mumbai T-shirt
1852,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Summer,Inkfruit Men Ride It Or Die T-shirt
1853,Men,Apparel,0,Topwear,Tshirts,Yellow,Casual,Summer,Inkfruit Mens Little Bit More T-shirt
1854,Men,Apparel,0,Topwear,Tshirts,Purple,Casual,Summer,Inkfruit Mens Pencho T-shirt
1855,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Summer,Inkfruit Mens Chain Reaction T-shirt
1856,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Summer,Inkfruit Men Rebel Without a Clue T-shirt
1857,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Summer,Inkfruit Mens Life After Midnight T-shirt
1859,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Summer,Inkfruit Men Eye Opener T-shirt
1860,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Summer,Inkfruit Mens Shiva T-shirt
1861,Men,Apparel,0,Topwear,Tshirts,White,Casual,Summer,Inkfruit Men Graff Wars T-shirt
1862,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Summer,Inkfruit Mens Urban Warfare T-shirt
1863,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Summer,Inkfruit Men Night Wolf T-shirt
1865,Men,Apparel,0,Topwear,Tshirts,White,Casual,Summer,Inkfruit Men Operation Kick
1866,Men,Apparel,0,Topwear,Tshirts,Maroon,Casual,Summer,Inkfruit Mens My Pet T-shirt
1867,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Summer,Inkfruit Men Nayak Nahi T-shirt
1868,Men,Apparel,0,Topwear,Tshirts,White,Casual,Summer,Inkfruit Mens Facebook Like T-shirt
1869,Men,Apparel,0,Topwear,Tshirts,Navy Blue,Casual,Winter,FIFA Mens 1904 Navy Blue T-shirt
1870,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Winter,FIFA Mens 1990 World Cup Black T-shirt
1871,Men,Apparel,0,Topwear,Tshirts,White,Casual,Winter,FIFA Mens 1990 World Cup White T-shirt
1872,Men,Apparel,0,Topwear,Tshirts,White,Casual,Winter,FIFA Mens 1962 World Cup White T-shirt
1875,Men,Apparel,0,Topwear,Tshirts,Green,Casual,Winter,FIFA Mens 1990 World Cup Edition T-shirt
1876,Men,Apparel,0,Topwear,Tshirts,White,Casual,Winter,FIFA Mens Mexican Wave White T-shirt
1877,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Winter,FIFA Mens Mexican Wave Grey T-shirt
1879,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Winter,FIFA Mens 1982 Spain Red T-shirt
1880,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Winter,FIFA Mens World Cup Champions Black T-shirt
1881,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Winter,FIFA Mens France 1938 Grey T-shirt
1882,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Winter,FIFA Mens Code Collection Red T-shirt
1883,Men,Apparel,0,Bottomwear,Track Pants,Grey,Casual,Winter,FIFA Mens Heritage Collection Grey Track Pants
1884,Men,Apparel,0,Bottomwear,Track Pants,Navy Blue,Casual,Winter,FIFA Mens 1905 Heritage Collection Track Pants
1885,Men,Apparel,0,Bottomwear,Shorts,Grey,Casual,Winter,FIFA Mens 1904 Heritage Shorts
1886,Men,Apparel,0,Topwear,Tshirts,Grey,Casual,Winter,FIFA Mens Red Card Grey T-shirt
1887,Men,Apparel,0,Topwear,Tshirts,Green,Casual,Winter,FIFA Mens Essentials Green T-shirt
1888,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Winter,FIFA Mens Essentials Black T-shirt
1889,Men,Apparel,0,Topwear,Tshirts,Navy Blue,Casual,Winter,Fifa Men Essentials Navy Blue T-shirt
1890,Men,Apparel,0,Topwear,Tshirts,Red,Casual,Winter,FIFA Mens Essentials Red T-shirt
1891,Men,Apparel,0,Topwear,Tshirts,White,Casual,Winter,FIFA Mens Essentials White T-shirt
1892,Men,Apparel,0,Topwear,Sweatshirts,Blue,Casual,Winter,FIFA Men Full Sleeves Hoody Sweatshirt
1895,Men,Apparel,0,Topwear,Sweatshirts,Black,Casual,Winter,FIFA Men Full Sleeves Hoody Sweatshirt
1897,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Winter,FIFA Men Germany Blue Jersey
1902,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Winter,FIFA Men Blue Jersey
1903,Men,Apparel,0,Topwear,Tshirts,Yellow,Sports,Winter,FIFA Men Brazil Yellow Jersey
1904,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Winter,FIFA Men Brazil Blue & Yellow Jersey
1905,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Winter,FIFA Mens 1904 Football Federation T-shirt
1906,Men,Apparel,0,Topwear,Tshirts,Cream,Casual,Winter,FIFA Mens 1905 Football Federation T-shirt
1907,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Nike Mens Classic Black T-shirt
1909,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Nike Mens Classic Sportswear T-shirt
1910,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Nike Men's Classic Patterned T-shirt
1911,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Nike Mens Manchester United Blues T-shirt
1912,Men,Apparel,0,Topwear,Tshirts,White,Sports,Fall,Nike Mens Running White T-shirt
1913,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Nike Mens Seize Victory Black T-shirt
1916,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Puma Men's Game Point Shoes
1917,Men,Footwear,2,Shoes,Casual Shoes,White,Casual,Fall,Puma Men White Sneakers
1918,Unisex,Accessories,1,Bags,Backpacks,Blue,Sports,Fall,Domyos 300 Blue Bag
1919,Men,Footwear,2,Shoes,Casual Shoes,Brown,Casual,Fall,Puma Men's Choco Brown Casual Shoes
1920,Men,Footwear,2,Shoes,Casual Shoes,Black,Casual,Fall,Puma Men Graffiti FX Shoes
1922,Men,Apparel,0,Topwear,Tshirts,Black,Sports,Fall,Puma Mens Slim Fit Black Polo T-shirt
1923,Women,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,Kalenji Women Running Shoe
1924,Men,Apparel,0,Topwear,Tshirts,White,Sports,Fall,Puma Mens Racing White T-shirt
1925,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Fall,Quechua Black Bag
1926,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Puma Mens Ocean Racing Blues T-shirt
1927,Unisex,Accessories,1,Bags,Backpacks,Navy Blue,Sports,Summer,Domyos Navy Blue Bag
1928,Men,Apparel,0,Topwear,Tshirts,Green,Casual,Fall,Puma Mens One Love T-shirt
1929,Men,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Quechua Men's Lighweight Black Shoe
1930,Unisex,Accessories,1,Bags,Backpacks,Red,Sports,Fall,Quechua 22L Red Bag
1931,Men,Apparel,0,Topwear,Tshirts,Navy Blue,Casual,Fall,Puma Men's Jamaica Jam Navy Blue T-shirt
1932,Women,Footwear,2,Shoes,Casual Shoes,Grey,Casual,Fall,Quechua Women Arpenaz Flex Grey Shoe
1933,Unisex,Accessories,1,Bags,Backpacks,Grey,Sports,Fall,Quechua Arpenaz 20L Dark Grey Bag
1934,Unisex,Accessories,1,Bags,Backpacks,Purple,Sports,Summer,Quechua Forclaz 25L Air Purple Backpack
1935,Unisex,Accessories,1,Bags,Backpacks,Black,Sports,Summer,Quechua 22L Blue Bag
1936,Unisex,Accessories,1,Bags,Backpacks,Brown,Sports,Fall,Quechua Arpenaz 30L Brown Bag
1937,Women,Footwear,2,Shoes,Sports Shoes,Black,Sports,Fall,Kalenji Women Black Pink Shoe
1938,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Puma Men's Jamaica Jam Blues T-shirt
1939,Women,Accessories,1,Bags,Handbags,Blue,Sports,Summer,Geonaute Women Large Outdoor Bag Bag
1941,Women,Accessories,1,Bags,Handbags,Brown,Sports,Summer,Domyos Brown Bag
1942,Men,Apparel,0,Topwear,Tshirts,White,Casual,Fall,Puma Mens Reggae All Night White T-shirt
1944,Men,Apparel,0,Topwear,Tshirts,Blue,Casual,Fall,Puma Mens Reggae All Night Blues T-shirt
1945,Men,Apparel,0,Topwear,Tshirts,Green,Sports,Fall,Puma Mens Reggae All Night Green T-shirt
1946,Men,Apparel,0,Topwear,Tshirts,Green,Casual,Fall,Puma Mens One Love Reggae Polo T-shirt
1947,Men,Apparel,0,Topwear,Tshirts,Blue,Sports,Fall,Puma Mens Cricket Way of Life T-shirt
1948,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Fall,Puma Mens Keyboard Sidebar Black Polo T-shirt
1949,Men,Apparel,0,Topwear,Tshirts,White,Casual,Fall,Puma Mens Keyboard Sidebar White Polo T-shirt
1950,Men,Apparel,0,Topwear,Tshirts,Black,Casual,Fall,Puma Mens Colour Splash T-shirt
1951,Women,Footwear,2,Shoes,Sports Shoes,Purple,Sports,Fall,Puma Women Eco Funky Shoes
1962,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,ADIDAS Men's Duramo Leather Shoe
1963,Men,Footwear,2,Shoes,Sports Shoes,White,Sports,Fall,ADIDAS Men's Azaro White Shoe
1964,Men,Footwear,2,Shoes,Casual Shoes,Blue,Casual,Winter,ADIDAS Men's Blue Canvas Shoe
